IMD_Score,patient_count,pct_of_patients,cumulative_patients,cumulative_pct
10077,854,0.08,523221,48.31
10080,387,0.04,523608,48.34
10090,423,0.04,524031,48.38
10098,1,0.0,524032,48.38
10114,1,0.0,524033,48.38
10119,489,0.05,524522,48.43
10120,618,0.06,525140,48.48
10150,774,0.07,525914,48.56
10158,2,0.0,525916,48.56
10159,1,0.0,525917,48.56
10164,21,0.0,525938,48.56
10197,11,0.0,525949,48.56
10199,1,0.0,525950,48.56
10205,1,0.0,525951,48.56
10218,1,0.0,525952,48.56
10222,1,0.0,525953,48.56
10229,30,0.0,525983,48.56
10239,4,0.0,525987,48.56
10241,506,0.05,526493,48.61
10242,1,0.0,526494,48.61
10244,1,0.0,526495,48.61
10273,1,0.0,526496,48.61
10276,723,0.07,527219,48.68
10290,744,0.07,527963,48.74
10298,598,0.06,528561,48.8
10305,7,0.0,528568,48.8
10307,911,0.08,529479,48.88
10332,2,0.0,529481,48.88
10334,1,0.0,529482,48.88
10345,5,0.0,529487,48.89
10355,2,0.0,529489,48.89
10364,757,0.07,530246,48.96
10379,1,0.0,530247,48.96
10382,1,0.0,530248,48.96
10399,2,0.0,530250,48.96
10401,1,0.0,530251,48.96
10403,473,0.04,530724,49.0
10405,386,0.04,531110,49.04
10407,631,0.06,531741,49.09
10412,1,0.0,531742,49.09
10420,1,0.0,531743,49.09
10423,660,0.06,532403,49.15
10433,1,0.0,532404,49.15
10437,5,0.0,532409,49.16
10440,1,0.0,532410,49.16
10445,513,0.05,532923,49.2
10450,517,0.05,533440,49.25
10469,1,0.0,533441,49.25
10483,1,0.0,533442,49.25
10491,1,0.0,533443,49.25
10497,549,0.05,533992,49.3
10506,5,0.0,533997,49.3
10514,1,0.0,533998,49.3
10522,1,0.0,533999,49.3
10527,2,0.0,534001,49.3
10534,1,0.0,534002,49.3
10552,498,0.05,534500,49.35
10578,2,0.0,534502,49.35
10580,4,0.0,534506,49.35
10591,2,0.0,534508,49.35
10594,605,0.06,535113,49.4
10598,1,0.0,535114,49.4
10602,4,0.0,535118,49.41
10604,520,0.05,535638,49.45
10607,1,0.0,535639,49.45
10608,633,0.06,536272,49.51
10622,645,0.06,536917,49.57
10623,983,0.09,537900,49.66
10624,752,0.07,538652,49.73
10649,1,0.0,538653,49.73
10665,1,0.0,538654,49.73
10672,13,0.0,538667,49.73
10681,2,0.0,538669,49.73
10682,2,0.0,538671,49.73
10688,2,0.0,538673,49.73
10693,1,0.0,538674,49.73
10697,1,0.0,538675,49.73
10699,1,0.0,538676,49.73
10702,1,0.0,538677,49.73
10704,719,0.07,539396,49.8
10727,1,0.0,539397,49.8
10733,1,0.0,539398,49.8
10735,670,0.06,540068,49.86
10754,1,0.0,540069,49.86
10770,1,0.0,540070,49.86
10776,2,0.0,540072,49.86
10788,3,0.0,540075,49.86
10803,1,0.0,540076,49.86
10818,908,0.08,540984,49.95
10829,1,0.0,540985,49.95
10836,1,0.0,540986,49.95
10844,611,0.06,541597,50.0
10847,14,0.0,541611,50.0
10880,3,0.0,541614,50.01
10883,1,0.0,541615,50.01
10900,877,0.08,542492,50.09
10905,5,0.0,542497,50.09
10932,3,0.0,542500,50.09
10934,2,0.0,542502,50.09
