IMD_Score,patient_count,pct_of_patients,cumulative_patients,cumulative_pct
15791,1,0.0,656937,60.65
15793,1,0.0,656938,60.65
15795,1,0.0,656939,60.65
15823,1,0.0,656940,60.65
15826,1,0.0,656941,60.65
15828,2,0.0,656943,60.65
15830,573,0.05,657516,60.71
15832,800,0.07,658316,60.78
15862,429,0.04,658745,60.82
15870,1211,0.11,659956,60.93
15877,1,0.0,659957,60.93
15883,1,0.0,659958,60.93
15886,669,0.06,660627,60.99
15915,1,0.0,660628,60.99
15926,1,0.0,660629,60.99
15928,571,0.05,661200,61.05
15931,3,0.0,661203,61.05
15942,3,0.0,661206,61.05
15943,1,0.0,661207,61.05
15954,173,0.02,661380,61.06
15957,2,0.0,661382,61.06
15960,1,0.0,661383,61.06
15982,598,0.06,661981,61.12
16002,711,0.07,662692,61.18
16013,498,0.05,663190,61.23
16017,1,0.0,663191,61.23
16019,2,0.0,663193,61.23
16022,1,0.0,663194,61.23
16025,541,0.05,663735,61.28
16029,1,0.0,663736,61.28
16036,1,0.0,663737,61.28
16038,24,0.0,663761,61.28
16044,643,0.06,664404,61.34
16052,1,0.0,664405,61.34
16053,533,0.05,664938,61.39
16057,303,0.03,665241,61.42
16066,1,0.0,665242,61.42
16067,1,0.0,665243,61.42
16069,11,0.0,665254,61.42
16073,17,0.0,665271,61.42
16082,40,0.0,665311,61.43
16090,1,0.0,665312,61.43
16103,1,0.0,665313,61.43
16107,700,0.06,666013,61.49
16109,797,0.07,666810,61.56
16119,2,0.0,666812,61.56
16147,1,0.0,666813,61.56
16152,675,0.06,667488,61.63
16158,437,0.04,667925,61.67
16159,1,0.0,667926,61.67
16162,1,0.0,667927,61.67
16180,13,0.0,667940,61.67
16184,1,0.0,667941,61.67
16196,1,0.0,667942,61.67
16197,2,0.0,667944,61.67
16205,1,0.0,667945,61.67
16206,794,0.07,668739,61.74
16222,574,0.05,669313,61.8
16247,1,0.0,669314,61.8
16249,792,0.07,670106,61.87
16257,1,0.0,670107,61.87
16262,1,0.0,670108,61.87
16291,4,0.0,670112,61.87
16318,1,0.0,670113,61.87
16330,510,0.05,670623,61.92
16336,1542,0.14,672165,62.06
16339,1,0.0,672166,62.06
16357,692,0.06,672858,62.12
16360,782,0.07,673640,62.19
16363,1,0.0,673641,62.19
16365,1,0.0,673642,62.19
16376,1,0.0,673643,62.19
16385,9,0.0,673652,62.2
16386,1,0.0,673653,62.2
16392,1,0.0,673654,62.2
16396,2,0.0,673656,62.2
16402,2,0.0,673658,62.2
16403,1,0.0,673659,62.2
16407,478,0.04,674137,62.24
16411,113,0.01,674250,62.25
16419,1,0.0,674251,62.25
16427,5,0.0,674256,62.25
16432,861,0.08,675117,62.33
16445,694,0.06,675811,62.39
16452,1,0.0,675812,62.4
16453,1,0.0,675813,62.4
16457,2,0.0,675815,62.4
16458,500,0.05,676315,62.44
16483,1,0.0,676316,62.44
16493,1,0.0,676317,62.44
16508,1,0.0,676318,62.44
16509,1,0.0,676319,62.44
16522,914,0.08,677233,62.53
16534,1,0.0,677234,62.53
16540,458,0.04,677692,62.57
16544,610,0.06,678302,62.62
16549,38,0.0,678340,62.63
16552,1,0.0,678341,62.63
16554,1,0.0,678342,62.63
16572,690,0.06,679032,62.69
16597,2,0.0,679034,62.69
16613,2,0.0,679036,62.69
16616,1,0.0,679037,62.69
16617,947,0.09,679984,62.78
16618,1,0.0,679985,62.78
16622,1,0.0,679986,62.78
16624,1,0.0,679987,62.78
16633,1,0.0,679988,62.78
16658,1,0.0,679989,62.78
16662,607,0.06,680596,62.84
16669,1,0.0,680597,62.84
16674,1,0.0,680598,62.84
16686,1,0.0,680599,62.84
16688,1,0.0,680600,62.84
16695,1,0.0,680601,62.84
16696,706,0.07,681307,62.9
16701,3,0.0,681310,62.9
16732,1,0.0,681311,62.9
16734,401,0.04,681712,62.94
16739,571,0.05,682283,62.99
16749,2,0.0,682285,62.99
16758,1,0.0,682286,62.99
16761,23,0.0,682309,62.99
16767,1,0.0,682310,62.99
16769,413,0.04,682723,63.03
16772,756,0.07,683479,63.1
16783,1,0.0,683480,63.1
16790,2,0.0,683482,63.1
16794,551,0.05,684033,63.15
16803,1,0.0,684034,63.15
16806,798,0.07,684832,63.23
16836,143,0.01,684975,63.24
16837,1,0.0,684976,63.24
16878,517,0.05,685493,63.29
16887,579,0.05,686072,63.34
16907,1,0.0,686073,63.34
16909,3,0.0,686076,63.34
16917,638,0.06,686714,63.4
16946,2,0.0,686716,63.4
16951,647,0.06,687363,63.46
16954,575,0.05,687938,63.51
16961,364,0.03,688302,63.55
16963,1,0.0,688303,63.55
16971,1,0.0,688304,63.55
16982,60,0.01,688364,63.55
16983,2,0.0,688366,63.55
16988,3,0.0,688369,63.55
16992,509,0.05,688878,63.6
17002,1,0.0,688879,63.6
17010,1,0.0,688880,63.6
17037,1,0.0,688881,63.6
17038,573,0.05,689454,63.65
17045,43,0.0,689497,63.66
17046,1,0.0,689498,63.66
17059,1,0.0,689499,63.66
17073,1,0.0,689500,63.66
17074,1,0.0,689501,63.66
17084,2,0.0,689503,63.66
17090,281,0.03,689784,63.69
17096,3,0.0,689787,63.69
17098,565,0.05,690352,63.74
17105,2,0.0,690354,63.74
17107,1,0.0,690355,63.74
17114,466,0.04,690821,63.78
17135,2,0.0,690823,63.78
17151,515,0.05,691338,63.83
17158,1,0.0,691339,63.83
17165,1,0.0,691340,63.83
17167,528,0.05,691868,63.88
17181,3,0.0,691871,63.88
17191,1,0.0,691872,63.88
17203,2,0.0,691874,63.88
17221,1,0.0,691875,63.88
17222,1,0.0,691876,63.88
17227,470,0.04,692346,63.92
17238,616,0.06,692962,63.98
17246,4,0.0,692966,63.98
17253,1,0.0,692967,63.98
17259,3,0.0,692970,63.98
17269,1252,0.12,694222,64.09
17272,2,0.0,694224,64.09
17312,898,0.08,695122,64.18
17322,2,0.0,695124,64.18
17325,3,0.0,695127,64.18
17329,2,0.0,695129,64.18
17357,1,0.0,695130,64.18
17368,1,0.0,695131,64.18
17375,462,0.04,695593,64.22
17385,13,0.0,695606,64.22
17386,1,0.0,695607,64.22
17403,1,0.0,695608,64.22
17414,680,0.06,696288,64.29
17426,1,0.0,696289,64.29
17434,1,0.0,696290,64.29
17436,1,0.0,696291,64.29
17444,531,0.05,696822,64.33
17455,1,0.0,696823,64.33
17459,1,0.0,696824,64.34
17461,1,0.0,696825,64.34
17475,544,0.05,697369,64.39
17484,2,0.0,697371,64.39
17486,739,0.07,698110,64.45
17496,1,0.0,698111,64.45
17499,1,0.0,698112,64.45
17504,7,0.0,698119,64.45
17509,1180,0.11,699299,64.56
17531,447,0.04,699746,64.6
17551,1,0.0,699747,64.6
17560,2,0.0,699749,64.61
17563,12,0.0,699761,64.61
17572,1,0.0,699762,64.61
17588,454,0.04,700216,64.65
17596,1,0.0,700217,64.65
17598,727,0.07,700944,64.72
17606,800,0.07,701744,64.79
17623,487,0.04,702231,64.83
17635,3,0.0,702234,64.83
17648,1,0.0,702235,64.83
17656,365,0.03,702600,64.87
17660,2,0.0,702602,64.87
17702,673,0.06,703275,64.93
17710,494,0.05,703769,64.98
17730,585,0.05,704354,65.03
17732,1,0.0,704355,65.03
17748,4,0.0,704359,65.03
17758,1,0.0,704360,65.03
17775,1,0.0,704361,65.03
17785,1,0.0,704362,65.03
17786,841,0.08,705203,65.11
17788,1,0.0,705204,65.11
17792,1,0.0,705205,65.11
17793,1,0.0,705206,65.11
17794,1,0.0,705207,65.11
17795,710,0.07,705917,65.17
17807,560,0.05,706477,65.23
17809,1,0.0,706478,65.23
17831,2,0.0,706480,65.23
17843,1,0.0,706481,65.23
17848,2,0.0,706483,65.23
17861,2,0.0,706485,65.23
17869,1,0.0,706486,65.23
17883,1,0.0,706487,65.23
17905,457,0.04,706944,65.27
17914,2,0.0,706946,65.27
17946,1,0.0,706947,65.27
17954,9,0.0,706956,65.27
17965,413,0.04,707369,65.31
17987,795,0.07,708164,65.38
17990,1,0.0,708165,65.38
18002,40,0.0,708205,65.39
18005,1,0.0,708206,65.39
18018,656,0.06,708862,65.45
18030,1,0.0,708863,65.45
18034,1,0.0,708864,65.45
18051,3,0.0,708867,65.45
18070,1,0.0,708868,65.45
18084,1,0.0,708869,65.45
18093,2,0.0,708871,65.45
18096,1,0.0,708872,65.45
18110,2,0.0,708874,65.45
18121,1,0.0,708875,65.45
18139,2,0.0,708877,65.45
18149,1,0.0,708878,65.45
18160,23,0.0,708901,65.45
18166,473,0.04,709374,65.49
18167,792,0.07,710166,65.57
18174,1,0.0,710167,65.57
18188,1,0.0,710168,65.57
18202,4,0.0,710172,65.57
18216,886,0.08,711058,65.65
18224,572,0.05,711630,65.7
18227,1,0.0,711631,65.7
18228,1,0.0,711632,65.7
18234,1,0.0,711633,65.7
18235,402,0.04,712035,65.74
18244,865,0.08,712900,65.82
18245,611,0.06,713511,65.88
18257,523,0.05,714034,65.92
18266,1,0.0,714035,65.92
18288,461,0.04,714496,65.97
18306,1,0.0,714497,65.97
18319,417,0.04,714914,66.01
18323,2,0.0,714916,66.01
18324,1,0.0,714917,66.01
18330,3,0.0,714920,66.01
18335,1,0.0,714921,66.01
18337,683,0.06,715604,66.07
18349,2,0.0,715606,66.07
18358,1,0.0,715607,66.07
18382,1,0.0,715608,66.07
18388,518,0.05,716126,66.12
18394,1,0.0,716127,66.12
18398,1,0.0,716128,66.12
18402,1,0.0,716129,66.12
18409,2,0.0,716131,66.12
18413,823,0.08,716954,66.19
18416,5,0.0,716959,66.19
18429,694,0.06,717653,66.26
18457,1,0.0,717654,66.26
18474,2,0.0,717656,66.26
18476,1,0.0,717657,66.26
18490,1,0.0,717658,66.26
18491,2,0.0,717660,66.26
18502,1,0.0,717661,66.26
18515,31,0.0,717692,66.26
18518,1,0.0,717693,66.26
18526,1,0.0,717694,66.26
18528,1,0.0,717695,66.26
18529,2,0.0,717697,66.26
18552,1,0.0,717698,66.26
18558,1,0.0,717699,66.26
18598,1,0.0,717700,66.26
18601,2,0.0,717702,66.26
18603,1,0.0,717703,66.26
18634,1,0.0,717704,66.26
18635,808,0.07,718512,66.34
18636,1,0.0,718513,66.34
18641,1,0.0,718514,66.34
18646,1,0.0,718515,66.34
18654,482,0.04,718997,66.38
18658,1,0.0,718998,66.38
18664,1,0.0,718999,66.38
18680,1,0.0,719000,66.38
18701,1,0.0,719001,66.38
18710,83,0.01,719084,66.39
18738,1,0.0,719085,66.39
18740,934,0.09,720019,66.48
18741,1,0.0,720020,66.48
18764,1,0.0,720021,66.48
18769,593,0.05,720614,66.53
18771,1,0.0,720615,66.53
18774,1,0.0,720616,66.53
18788,6,0.0,720622,66.53
18793,1,0.0,720623,66.53
18795,1,0.0,720624,66.53
18800,394,0.04,721018,66.57
18804,1,0.0,721019,66.57
18807,607,0.06,721626,66.62
18819,1,0.0,721627,66.62
18827,480,0.04,722107,66.67
18828,534,0.05,722641,66.72
18854,11,0.0,722652,66.72
18863,438,0.04,723090,66.76
18867,756,0.07,723846,66.83
18869,1,0.0,723847,66.83
18883,731,0.07,724578,66.9
18885,1,0.0,724579,66.9
18890,1,0.0,724580,66.9
18895,707,0.07,725287,66.96
18897,2,0.0,725289,66.96
18901,3,0.0,725292,66.96
18911,767,0.07,726059,67.03
18916,440,0.04,726499,67.07
18925,1,0.0,726500,67.07
18928,1,0.0,726501,67.07
18929,1,0.0,726502,67.08
18930,677,0.06,727179,67.14
18935,1,0.0,727180,67.14
18953,1,0.0,727181,67.14
18954,790,0.07,727971,67.21
18960,15,0.0,727986,67.21
18995,856,0.08,728842,67.29
19005,1,0.0,728843,67.29
19008,510,0.05,729353,67.34
19036,1,0.0,729354,67.34
19049,1,0.0,729355,67.34
19053,1,0.0,729356,67.34
19058,7,0.0,729363,67.34
19063,1,0.0,729364,67.34
19070,1,0.0,729365,67.34
19075,40,0.0,729405,67.34
19088,1,0.0,729406,67.34
19090,1,0.0,729407,67.34
19101,1,0.0,729408,67.34
19119,771,0.07,730179,67.41
19129,1,0.0,730180,67.41
19132,984,0.09,731164,67.51
19133,632,0.06,731796,67.56
19148,1,0.0,731797,67.56
19163,576,0.05,732373,67.62
19180,2,0.0,732375,67.62
19181,2,0.0,732377,67.62
19182,507,0.05,732884,67.66
19211,1,0.0,732885,67.66
19216,685,0.06,733570,67.73
19218,1,0.0,733571,67.73
19219,4,0.0,733575,67.73
19232,1,0.0,733576,67.73
19234,2,0.0,733578,67.73
19236,1,0.0,733579,67.73
19237,494,0.05,734073,67.77
19243,402,0.04,734475,67.81
19244,1,0.0,734476,67.81
19247,2,0.0,734478,67.81
19250,2,0.0,734480,67.81
19258,639,0.06,735119,67.87
19277,1,0.0,735120,67.87
19293,721,0.07,735841,67.94
19294,447,0.04,736288,67.98
19298,486,0.04,736774,68.02
19332,4,0.0,736778,68.02
19338,954,0.09,737732,68.11
19343,408,0.04,738140,68.15
19358,2,0.0,738142,68.15
19359,389,0.04,738531,68.19
19369,493,0.05,739024,68.23
19383,1,0.0,739025,68.23
19389,464,0.04,739489,68.27
19395,4,0.0,739493,68.27
19401,1,0.0,739494,68.27
19415,7,0.0,739501,68.28
19425,2,0.0,739503,68.28
19432,480,0.04,739983,68.32
19445,666,0.06,740649,68.38
19454,2,0.0,740651,68.38
19463,1,0.0,740652,68.38
19470,5,0.0,740657,68.38
19477,2,0.0,740659,68.38
19493,685,0.06,741344,68.45
19495,2,0.0,741346,68.45
19501,2,0.0,741348,68.45
19504,1,0.0,741349,68.45
19519,439,0.04,741788,68.49
19534,436,0.04,742224,68.53
19537,608,0.06,742832,68.58
19538,581,0.05,743413,68.64
19545,1,0.0,743414,68.64
19549,2,0.0,743416,68.64
19559,1,0.0,743417,68.64
19571,652,0.06,744069,68.7
19592,1,0.0,744070,68.7
19594,1,0.0,744071,68.7
19601,2,0.0,744073,68.7
19613,1,0.0,744074,68.7
19614,2,0.0,744076,68.7
19619,1,0.0,744077,68.7
19624,1,0.0,744078,68.7
19641,1,0.0,744079,68.7
19644,615,0.06,744694,68.75
19645,2,0.0,744696,68.75
19649,2,0.0,744698,68.76
19654,698,0.06,745396,68.82
19674,98,0.01,745494,68.83
19690,579,0.05,746073,68.88
19693,1,0.0,746074,68.88
19699,1,0.0,746075,68.88
19700,275,0.03,746350,68.91
19702,1,0.0,746351,68.91
19717,2,0.0,746353,68.91
19744,516,0.05,746869,68.96
19765,4,0.0,746873,68.96
19767,384,0.04,747257,68.99
19768,1,0.0,747258,68.99
19771,2,0.0,747260,68.99
19781,2,0.0,747262,68.99
19788,2,0.0,747264,68.99
19792,1,0.0,747265,68.99
19797,42,0.0,747307,69.0
19808,1044,0.1,748351,69.09
19817,1,0.0,748352,69.09
19819,1,0.0,748353,69.09
19829,13,0.0,748366,69.09
19832,1,0.0,748367,69.09
19839,1,0.0,748368,69.09
19841,853,0.08,749221,69.17
19842,676,0.06,749897,69.24
19847,1,0.0,749898,69.24
19849,2,0.0,749900,69.24
19854,2,0.0,749902,69.24
19855,417,0.04,750319,69.27
19857,559,0.05,750878,69.33
19859,632,0.06,751510,69.38
19871,2,0.0,751512,69.38
19876,3,0.0,751515,69.38
19878,1,0.0,751516,69.38
19887,1,0.0,751517,69.38
19889,834,0.08,752351,69.46
19909,642,0.06,752993,69.52
19915,5,0.0,752998,69.52
19939,581,0.05,753579,69.57
19945,1,0.0,753580,69.58
19949,1,0.0,753581,69.58
19952,1,0.0,753582,69.58
19968,3,0.0,753585,69.58
19984,1,0.0,753586,69.58
19985,4,0.0,753590,69.58
20001,1,0.0,753591,69.58
20005,478,0.04,754069,69.62
20008,1,0.0,754070,69.62
20025,749,0.07,754819,69.69
20026,1,0.0,754820,69.69
20032,520,0.05,755340,69.74
20048,687,0.06,756027,69.8
20055,1,0.0,756028,69.8
20078,1,0.0,756029,69.8
20095,1,0.0,756030,69.8
20098,13,0.0,756043,69.8
20102,1,0.0,756044,69.8
20107,1,0.0,756045,69.8
20127,1,0.0,756046,69.8
20135,744,0.07,756790,69.87
20138,744,0.07,757534,69.94
20143,482,0.04,758016,69.98
20144,1,0.0,758017,69.98
20167,2,0.0,758019,69.98
20168,1,0.0,758020,69.98
20169,1,0.0,758021,69.99
20172,1,0.0,758022,69.99
20173,5,0.0,758027,69.99
20182,680,0.06,758707,70.05
20184,1,0.0,758708,70.05
20196,962,0.09,759670,70.14
20203,2,0.0,759672,70.14
20204,551,0.05,760223,70.19
20207,1,0.0,760224,70.19
20208,608,0.06,760832,70.24
20226,1,0.0,760833,70.24
20230,2,0.0,760835,70.24
20237,603,0.06,761438,70.3
20238,1,0.0,761439,70.3
20270,1,0.0,761440,70.3
20298,1,0.0,761441,70.3
20309,833,0.08,762274,70.38
20326,579,0.05,762853,70.43
20338,1,0.0,762854,70.43
20341,1,0.0,762855,70.43
20354,1,0.0,762856,70.43
20368,2,0.0,762858,70.43
20375,521,0.05,763379,70.48
20386,9,0.0,763388,70.48
20398,2,0.0,763390,70.48
20421,66,0.01,763456,70.49
20428,501,0.05,763957,70.53
20430,810,0.07,764767,70.61
20431,5,0.0,764772,70.61
20437,1,0.0,764773,70.61
20447,1,0.0,764774,70.61
20475,1,0.0,764775,70.61
20485,776,0.07,765551,70.68
20496,1,0.0,765552,70.68
20517,636,0.06,766188,70.74
20527,1,0.0,766189,70.74
20533,1,0.0,766190,70.74
20537,1,0.0,766191,70.74
20539,3,0.0,766194,70.74
20543,1016,0.09,767210,70.83
20545,1,0.0,767211,70.83
20556,735,0.07,767946,70.9
20567,1,0.0,767947,70.9
20569,601,0.06,768548,70.96
20570,2,0.0,768550,70.96
20576,714,0.07,769264,71.02
20583,2,0.0,769266,71.02
20588,627,0.06,769893,71.08
20603,5,0.0,769898,71.08
20610,1,0.0,769899,71.08
20612,2,0.0,769901,71.08
20629,741,0.07,770642,71.15
20653,1,0.0,770643,71.15
20664,476,0.04,771119,71.19
20669,510,0.05,771629,71.24
20672,1,0.0,771630,71.24
20675,1,0.0,771631,71.24
20685,907,0.08,772538,71.33
20700,1310,0.12,773848,71.45
20702,1,0.0,773849,71.45
20714,1,0.0,773850,71.45
20720,1,0.0,773851,71.45
20724,6,0.0,773857,71.45
20726,1,0.0,773858,71.45
20736,1,0.0,773859,71.45
20739,1,0.0,773860,71.45
20752,658,0.06,774518,71.51
20755,1,0.0,774519,71.51
20758,601,0.06,775120,71.56
20774,1,0.0,775121,71.56
20777,595,0.05,775716,71.62
20781,13,0.0,775729,71.62
20790,1,0.0,775730,71.62
20800,1,0.0,775731,71.62
20810,1,0.0,775732,71.62
20823,1,0.0,775733,71.62
20889,1,0.0,775734,71.62
20892,741,0.07,776475,71.69
20894,606,0.06,777081,71.74
20913,544,0.05,777625,71.8
20932,226,0.02,777851,71.82
20934,803,0.07,778654,71.89
20945,1,0.0,778655,71.89
20949,1,0.0,778656,71.89
20952,2,0.0,778658,71.89
20961,462,0.04,779120,71.93
20972,1,0.0,779121,71.93
20976,2,0.0,779123,71.93
20981,604,0.06,779727,71.99
20989,14,0.0,779741,71.99
20993,1,0.0,779742,71.99
20998,1,0.0,779743,71.99
21010,1,0.0,779744,71.99
21025,11,0.0,779755,71.99
21034,2,0.0,779757,71.99
21038,426,0.04,780183,72.03
21047,1,0.0,780184,72.03
21049,1,0.0,780185,72.03
21057,826,0.08,781011,72.11
21083,365,0.03,781376,72.14
21088,1,0.0,781377,72.14
21089,889,0.08,782266,72.22
21102,425,0.04,782691,72.26
21111,725,0.07,783416,72.33
21146,841,0.08,784257,72.41
21159,5,0.0,784262,72.41
21165,929,0.09,785191,72.49
21184,936,0.09,786127,72.58
21190,1,0.0,786128,72.58
21213,440,0.04,786568,72.62
21239,1,0.0,786569,72.62
21247,4,0.0,786573,72.62
21248,52,0.0,786625,72.63
21251,1,0.0,786626,72.63
21253,1,0.0,786627,72.63
21254,655,0.06,787282,72.69
21271,444,0.04,787726,72.73
21275,1,0.0,787727,72.73
21286,1,0.0,787728,72.73
21331,1805,0.17,789533,72.89
21332,3,0.0,789536,72.89
21335,7,0.0,789543,72.9
21346,1,0.0,789544,72.9
21355,536,0.05,790080,72.94
21356,4,0.0,790084,72.95
21363,1,0.0,790085,72.95
21364,22,0.0,790107,72.95
21370,2,0.0,790109,72.95
21379,3,0.0,790112,72.95
21396,783,0.07,790895,73.02
21421,429,0.04,791324,73.06
21423,471,0.04,791795,73.1
21432,527,0.05,792322,73.15
21434,579,0.05,792901,73.21
21467,3,0.0,792904,73.21
21468,578,0.05,793482,73.26
21471,1,0.0,793483,73.26
21494,1,0.0,793484,73.26
21498,1,0.0,793485,73.26
21504,1,0.0,793486,73.26
21505,576,0.05,794062,73.31
21517,4,0.0,794066,73.31
21518,560,0.05,794626,73.36
21521,1,0.0,794627,73.36
21522,633,0.06,795260,73.42
21539,443,0.04,795703,73.46
21546,479,0.04,796182,73.51
21547,1,0.0,796183,73.51
21552,1,0.0,796184,73.51
21555,647,0.06,796831,73.57
21566,1,0.0,796832,73.57
21570,1,0.0,796833,73.57
21571,2,0.0,796835,73.57
21574,496,0.05,797331,73.61
21577,1,0.0,797332,73.61
21579,408,0.04,797740,73.65
21580,3,0.0,797743,73.65
21586,734,0.07,798477,73.72
21603,1079,0.1,799556,73.82
21604,2,0.0,799558,73.82
21625,474,0.04,800032,73.86
21637,550,0.05,800582,73.91
21640,2,0.0,800584,73.91
21642,550,0.05,801134,73.97
21643,5,0.0,801139,73.97
21674,1,0.0,801140,73.97
21700,681,0.06,801821,74.03
21706,1,0.0,801822,74.03
21717,11,0.0,801833,74.03
21729,2,0.0,801835,74.03
21742,1,0.0,801836,74.03
21761,1,0.0,801837,74.03
21762,2,0.0,801839,74.03
21764,1,0.0,801840,74.03
21769,828,0.08,802668,74.11
21791,366,0.03,803034,74.14
21794,1,0.0,803035,74.14
21795,2,0.0,803037,74.14
21796,1,0.0,803038,74.14
21800,9,0.0,803047,74.14
21801,1,0.0,803048,74.14
21813,1,0.0,803049,74.14
21818,2,0.0,803051,74.14
21820,602,0.06,803653,74.2
21821,1,0.0,803654,74.2
21831,6,0.0,803660,74.2
21866,557,0.05,804217,74.25
21868,1,0.0,804218,74.25
21869,371,0.03,804589,74.28
21889,1,0.0,804590,74.28
21910,3,0.0,804593,74.28
21912,40,0.0,804633,74.29
21920,1,0.0,804634,74.29
21925,1,0.0,804635,74.29
21926,623,0.06,805258,74.35
21929,1,0.0,805259,74.35
21935,481,0.04,805740,74.39
21955,3,0.0,805743,74.39
21961,1,0.0,805744,74.39
21965,794,0.07,806538,74.46
21989,1,0.0,806539,74.46
21997,1,0.0,806540,74.46
22001,619,0.06,807159,74.52
22003,577,0.05,807736,74.58
22011,1,0.0,807737,74.58
22020,2,0.0,807739,74.58
22026,3,0.0,807742,74.58
22047,37,0.0,807779,74.58
22048,1,0.0,807780,74.58
22074,519,0.05,808299,74.63
22085,1,0.0,808300,74.63
22091,577,0.05,808877,74.68
22093,1,0.0,808878,74.68
22096,3,0.0,808881,74.68
22111,649,0.06,809530,74.74
22115,522,0.05,810052,74.79
22119,1,0.0,810053,74.79
22126,1,0.0,810054,74.79
22130,766,0.07,810820,74.86
22148,1,0.0,810821,74.86
22156,774,0.07,811595,74.93
22169,2,0.0,811597,74.93
22173,10,0.0,811607,74.93
22177,2,0.0,811609,74.93
22179,1,0.0,811610,74.93
22218,646,0.06,812256,74.99
22219,444,0.04,812700,75.03
22227,577,0.05,813277,75.09
22230,1,0.0,813278,75.09
22235,1,0.0,813279,75.09
22236,1,0.0,813280,75.09
22240,13,0.0,813293,75.09
22263,1,0.0,813294,75.09
22286,1,0.0,813295,75.09
22293,634,0.06,813929,75.15
22316,1,0.0,813930,75.15
22320,1,0.0,813931,75.15
22333,2,0.0,813933,75.15
22335,371,0.03,814304,75.18
22339,453,0.04,814757,75.22
22342,70,0.01,814827,75.23
22347,469,0.04,815296,75.27
22362,1,0.0,815297,75.27
22366,706,0.07,816003,75.34
22385,3,0.0,816006,75.34
22392,3,0.0,816009,75.34
22409,1,0.0,816010,75.34
22422,16,0.0,816026,75.34
22425,638,0.06,816664,75.4
22432,224,0.02,816888,75.42
22439,767,0.07,817655,75.49
22455,1,0.0,817656,75.49
22465,1177,0.11,818833,75.6
22471,1,0.0,818834,75.6
22478,2,0.0,818836,75.6
22479,2,0.0,818838,75.6
22491,592,0.05,819430,75.65
22497,2,0.0,819432,75.65
22511,485,0.04,819917,75.7
22513,75,0.01,819992,75.71
22514,2,0.0,819994,75.71
22523,1,0.0,819995,75.71
22545,479,0.04,820474,75.75
22546,1,0.0,820475,75.75
22547,665,0.06,821140,75.81
22554,2,0.0,821142,75.81
22556,1,0.0,821143,75.81
22560,1,0.0,821144,75.81
22570,1,0.0,821145,75.81
22577,5,0.0,821150,75.81
22587,469,0.04,821619,75.86
22602,1,0.0,821620,75.86
22614,1,0.0,821621,75.86
22628,1,0.0,821622,75.86
22653,1,0.0,821623,75.86
22659,2,0.0,821625,75.86
22664,550,0.05,822175,75.91
22680,1,0.0,822176,75.91
22683,1,0.0,822177,75.91
22689,676,0.06,822853,75.97
22690,51,0.0,822904,75.98
22695,580,0.05,823484,76.03
22738,1,0.0,823485,76.03
22752,605,0.06,824090,76.08
22759,1,0.0,824091,76.09
22761,875,0.08,824966,76.17
22793,71,0.01,825037,76.17
22794,360,0.03,825397,76.21
22805,1,0.0,825398,76.21
22821,19,0.0,825417,76.21
22826,774,0.07,826191,76.28
22843,2,0.0,826193,76.28
22848,45,0.0,826238,76.28
22867,23,0.0,826261,76.29
22875,1369,0.13,827630,76.41
22893,1,0.0,827631,76.41
22900,2,0.0,827633,76.41
22904,1,0.0,827634,76.41
22922,4,0.0,827638,76.41
22938,7,0.0,827645,76.41
22941,2,0.0,827647,76.41
22992,2,0.0,827649,76.41
22994,1,0.0,827650,76.41
23010,608,0.06,828258,76.47
23016,657,0.06,828915,76.53
23019,531,0.05,829446,76.58
23021,2,0.0,829448,76.58
23028,532,0.05,829980,76.63
23038,4,0.0,829984,76.63
23042,1,0.0,829985,76.63
23060,2,0.0,829987,76.63
23070,3,0.0,829990,76.63
23093,1,0.0,829991,76.63
23099,622,0.06,830613,76.69
23101,1,0.0,830614,76.69
23102,643,0.06,831257,76.75
23110,1,0.0,831258,76.75
23114,726,0.07,831984,76.81
23116,406,0.04,832390,76.85
23117,608,0.06,832998,76.91
23119,1,0.0,832999,76.91
23120,1,0.0,833000,76.91
23125,455,0.04,833455,76.95
23135,1,0.0,833456,76.95
23148,2,0.0,833458,76.95
23152,2,0.0,833460,76.95
23158,4,0.0,833464,76.95
23160,1,0.0,833465,76.95
23162,5,0.0,833470,76.95
23176,1,0.0,833471,76.95
23183,4,0.0,833475,76.95
23186,1,0.0,833476,76.95
23200,1,0.0,833477,76.95
23205,1,0.0,833478,76.95
23207,2,0.0,833480,76.95
23213,12,0.0,833492,76.95
23231,1,0.0,833493,76.95
23243,375,0.03,833868,76.99
23250,479,0.04,834347,77.03
23254,2,0.0,834349,77.03
23260,10,0.0,834359,77.03
23293,4,0.0,834363,77.03
23301,2,0.0,834365,77.03
23303,544,0.05,834909,77.08
23311,2,0.0,834911,77.08
23319,562,0.05,835473,77.14
23324,792,0.07,836265,77.21
23334,509,0.05,836774,77.26
23351,5,0.0,836779,77.26
23359,462,0.04,837241,77.3
23368,2,0.0,837243,77.3
23372,2,0.0,837245,77.3
23378,595,0.05,837840,77.35
23385,684,0.06,838524,77.42
23395,266,0.02,838790,77.44
23398,613,0.06,839403,77.5
23402,505,0.05,839908,77.55
23405,818,0.08,840726,77.62
23418,2,0.0,840728,77.62
23419,2,0.0,840730,77.62
23421,1,0.0,840731,77.62
23431,1,0.0,840732,77.62
23437,608,0.06,841340,77.68
23445,567,0.05,841907,77.73
23446,1,0.0,841908,77.73
23469,1,0.0,841909,77.73
