event_count,patient_count,cumulative_patients,cumulative_pct
1618,32,159253,80.59
1619,34,159287,80.61
1620,34,159321,80.63
1621,28,159349,80.64
1622,39,159388,80.66
1623,38,159426,80.68
1624,46,159472,80.7
1625,36,159508,80.72
1626,34,159542,80.74
1627,38,159580,80.76
1628,41,159621,80.78
1629,38,159659,80.8
1630,47,159706,80.82
1631,32,159738,80.84
1632,33,159771,80.86
1633,38,159809,80.87
1634,46,159855,80.9
1635,35,159890,80.92
1636,36,159926,80.93
1637,32,159958,80.95
1638,42,160000,80.97
1639,35,160035,80.99
1640,42,160077,81.01
1641,32,160109,81.03
1642,36,160145,81.04
1643,41,160186,81.07
1644,33,160219,81.08
1645,36,160255,81.1
1646,47,160302,81.12
1647,38,160340,81.14
1648,30,160370,81.16
1649,28,160398,81.17
1650,32,160430,81.19
1651,27,160457,81.2
1652,41,160498,81.22
1653,41,160539,81.24
1654,33,160572,81.26
1655,26,160598,81.27
1656,39,160637,81.29
1657,26,160663,81.31
1658,34,160697,81.32
1659,34,160731,81.34
1660,40,160771,81.36
1661,44,160815,81.38
1662,33,160848,81.4
1663,37,160885,81.42
1664,43,160928,81.44
1665,35,160963,81.46
1666,40,161003,81.48
1667,24,161027,81.49
1668,35,161062,81.51
1669,38,161100,81.53
1670,31,161131,81.54
1671,31,161162,81.56
1672,40,161202,81.58
1673,29,161231,81.59
1674,35,161266,81.61
1675,24,161290,81.62
1676,38,161328,81.64
1677,34,161362,81.66
1678,27,161389,81.67
1679,28,161417,81.69
1680,39,161456,81.71
1681,38,161494,81.73
1682,29,161523,81.74
1683,45,161568,81.76
1684,46,161614,81.79
1685,37,161651,81.81
1686,34,161685,81.82
1687,43,161728,81.85
1688,36,161764,81.86
1689,32,161796,81.88
1690,29,161825,81.89
1691,30,161855,81.91
1692,29,161884,81.92
1693,36,161920,81.94
1694,43,161963,81.96
1695,37,162000,81.98
1696,38,162038,82.0
1697,28,162066,82.02
1698,44,162110,82.04
1699,30,162140,82.05
1700,41,162181,82.07
1701,32,162213,82.09
1702,35,162248,82.11
1703,36,162284,82.13
1704,37,162321,82.15
1705,35,162356,82.16
1706,33,162389,82.18
1707,43,162432,82.2
1708,34,162466,82.22
1709,32,162498,82.24
1710,37,162535,82.25
1711,30,162565,82.27
1712,27,162592,82.28
1713,45,162637,82.31
1714,35,162672,82.32
1715,23,162695,82.34
1716,37,162732,82.35
1717,33,162765,82.37
1718,37,162802,82.39
1719,35,162837,82.41
1720,35,162872,82.42
1721,36,162908,82.44
1722,27,162935,82.46
1723,36,162971,82.47
1724,32,163003,82.49
1725,46,163049,82.51
1726,30,163079,82.53
1727,31,163110,82.55
1728,29,163139,82.56
1729,38,163177,82.58
1730,30,163207,82.59
1731,32,163239,82.61
1732,33,163272,82.63
1733,26,163298,82.64
1734,35,163333,82.66
1735,47,163380,82.68
1736,33,163413,82.7
1737,27,163440,82.71
1738,26,163466,82.73
1739,27,163493,82.74
1740,22,163515,82.75
1741,34,163549,82.77
1742,27,163576,82.78
1743,35,163611,82.8
1744,25,163636,82.81
1745,39,163675,82.83
1746,45,163720,82.85
1747,35,163755,82.87
1748,27,163782,82.89
1749,35,163817,82.9
1750,39,163856,82.92
1751,31,163887,82.94
1752,35,163922,82.96
1753,26,163948,82.97
1754,27,163975,82.98
1755,32,164007,83.0
1756,39,164046,83.02
1757,33,164079,83.04
1758,37,164116,83.05
1759,23,164139,83.07
1760,22,164161,83.08
1761,29,164190,83.09
1762,35,164225,83.11
1763,39,164264,83.13
1764,32,164296,83.15
1765,27,164323,83.16
1766,18,164341,83.17
1767,32,164373,83.18
1768,30,164403,83.2
1769,33,164436,83.22
1770,20,164456,83.23
1771,40,164496,83.25
1772,36,164532,83.26
1773,36,164568,83.28
1774,35,164603,83.3
1775,29,164632,83.32
1776,25,164657,83.33
1777,40,164697,83.35
1778,30,164727,83.36
1779,34,164761,83.38
1780,40,164801,83.4
1781,38,164839,83.42
1782,29,164868,83.43
1783,31,164899,83.45
1784,34,164933,83.47
1785,41,164974,83.49
1786,25,164999,83.5
1787,26,165025,83.51
1788,32,165057,83.53
1789,33,165090,83.55
1790,30,165120,83.56
1791,34,165154,83.58
1792,22,165176,83.59
1793,32,165208,83.61
1794,24,165232,83.62
1795,36,165268,83.64
1796,27,165295,83.65
1797,30,165325,83.67
1798,33,165358,83.68
1799,30,165388,83.7
1800,30,165418,83.71
1801,27,165445,83.73
1802,31,165476,83.74
1803,27,165503,83.76
1804,32,165535,83.77
1805,28,165563,83.79
1806,38,165601,83.81
1807,37,165638,83.82
1808,29,165667,83.84
1809,30,165697,83.85
1810,36,165733,83.87
1811,22,165755,83.88
1812,32,165787,83.9
1813,22,165809,83.91
1814,43,165852,83.93
1815,29,165881,83.95
1816,23,165904,83.96
1817,24,165928,83.97
1818,39,165967,83.99
1819,36,166003,84.01
1820,30,166033,84.02
1821,34,166067,84.04
1822,28,166095,84.06
1823,33,166128,84.07
1824,27,166155,84.09
1825,29,166184,84.1
1826,29,166213,84.12
1827,25,166238,84.13
1828,37,166275,84.15
1829,33,166308,84.16
1830,28,166336,84.18
1831,24,166360,84.19
1832,33,166393,84.21
1833,29,166422,84.22
1834,35,166457,84.24
1835,31,166488,84.25
1836,39,166527,84.27
1837,36,166563,84.29
1838,26,166589,84.31
1839,22,166611,84.32
1840,26,166637,84.33
1841,34,166671,84.35
1842,30,166701,84.36
1843,28,166729,84.38
1844,29,166758,84.39
1845,29,166787,84.41
1846,25,166812,84.42
1847,32,166844,84.43
1848,25,166869,84.45
1849,25,166894,84.46
1850,20,166914,84.47
1851,37,166951,84.49
1852,31,166982,84.5
1853,21,167003,84.52
1854,22,167025,84.53
1855,39,167064,84.55
1856,26,167090,84.56
1857,29,167119,84.57
1858,29,167148,84.59
1859,33,167181,84.61
1860,25,167206,84.62
1861,22,167228,84.63
1862,33,167261,84.65
1863,31,167292,84.66
1864,20,167312,84.67
1865,29,167341,84.69
1866,24,167365,84.7
1867,27,167392,84.71
1868,41,167433,84.73
1869,26,167459,84.75
1870,28,167487,84.76
1871,24,167511,84.77
1872,16,167527,84.78
1873,30,167557,84.8
1874,28,167585,84.81
1875,34,167619,84.83
1876,28,167647,84.84
1877,33,167680,84.86
1878,31,167711,84.87
1879,29,167740,84.89
1880,31,167771,84.9
1881,39,167810,84.92
1882,35,167845,84.94
1883,26,167871,84.95
1884,30,167901,84.97
1885,30,167931,84.98
1886,29,167960,85.0
1887,25,167985,85.01
1888,26,168011,85.03
1889,19,168030,85.03
1890,25,168055,85.05
1891,34,168089,85.06
1892,23,168112,85.08
1893,27,168139,85.09
1894,32,168171,85.11
1895,25,168196,85.12
1896,29,168225,85.13
1897,29,168254,85.15
1898,38,168292,85.17
1899,27,168319,85.18
1900,27,168346,85.19
